Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_sec
1751287450,709830572,1073512448,16487788662,0.801266670227051
1751287451,710132216,1073541120,16495284859,0.804485082626343
1751287452,710430016,1073655808,16502397939,0.802265405654907
1751287453,710733055,1073635328,16509666292,0.805147886276245
1751287454,711032301,1073717248,16515887895,0.804508209228516
1751287455,711332450,1073508352,16523511837,0.886290788650513
1751287456,711644708,1073496064,16530159464,0.803807497024536
1751287457,711962668,1073528832,16536935509,0.786710262298584
1751287458,712262876,1073561600,16543107368,0.709968090057373
1751287459,712563107,1073635328,16549517081,0.799379825592041
1751287460,712862831,1073729536,16556910556,0.796777963638306
1751287461,713162786,1073442816,16563052508,0.790192127227783
1751287462,713477667,901304320,16569794556,0.797588348388672
1751287463,713787502,919240704,16576456648,0.804015636444092
1751287464,714092633,919814144,16582635832,0.805332660675049
1751287465,714392583,920510464,16588630018,0.798346281051636
1751287466,714693032,921186304,16594755307,0.799214839935303
1751287467,714992736,922132480,16600778424,0.796052694320679
1751287468,715292606,923209728,16606748563,0.790389060974121
1751287469,715600343,923897856,16613302257,0.791386127471924
1751287470,715911690,924594176,16620698905,0.719621658325195
1751287471,716219843,925536256,16626974829,0.800040721893311
1751287472,716522763,926818304,16632810569,0.822306394577026
1751287473,716822240,927301632,16639175604,0.887383699417114
1751287474,717122833,927981568,16646243152,0.803181648254395
1751287475,717422748,928681984,16654083525,0.796478986740112
1751287476,717722986,930041856,16661689706,0.795065641403198
1751287477,718047400,930975744,16669596607,0.799885749816895
1751287478,718352473,931418112,16677008576,0.808021783828735
1751287479,718652911,932872192,16684044141,0.796922206878662
1751287480,718953129,933445632,16690999568,0.790269136428833
1751287481,719252482,934387712,16697736306,0.798314809799194
1751287482,719552384,934944768,16705055074,0.803545236587524
1751287483,719861865,936284160,16711790469,0.794335842132568
1751287484,720172802,936873984,16718230089,0.807346105575562
1751287485,720482376,937570304,16724350801,0.799254655838013
1751287486,720782523,938508288,16730487077,0.708990335464478
1751287487,721083018,939630592,16736803711,0.807584762573242
1751287488,721382980,940331008,16742736130,0.797992944717407
1751287489,721682557,941088768,16749341337,0.806230068206787
1751287490,721982914,941805568,16755276015,0.82192873954773
1751287491,722292252,943140864,16761952572,0.801340579986572
1751287492,722601553,943800320,16769628090,0.891220092773438
1751287493,722909812,944463872,16777576373,0.784602165222168
1751287494,723213140,945397760,16783762453,0.802000999450684
1751287495,723512369,946475008,16791129133,0.801263809204102
1751287496,723813055,947138560,16797481717,0.793720006942749
1751287497,724112735,947798016,16803668286,0.801284790039063
1751287498,724412593,948600832,16810278498,0.803470134735107
1751287499,724721632,949846016,16816819192,0.888356924057007
