time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721423515.12411,500m,417m,1000Mi,347Mi,small,44.9,893.353462219238
1721423518.16017,500m,417m,1000Mi,347Mi,small,44.9,896.928548812866
1721423521.20481,500m,417m,1000Mi,347Mi,small,44.9,804.391622543335
1721423524.24293,500m,417m,1000Mi,347Mi,small,44.9,918.387174606323
1721423527.28492,500m,417m,1000Mi,347Mi,small,44.9,877.471685409546
1721423530.33181,500m,417m,1000Mi,347Mi,small,44.9,858.816623687744
1721423533.37383,500m,417m,1000Mi,347Mi,small,44.9,899.458885192871
1721423536.4887,500m,452m,1000Mi,348Mi,small,44.9,872.4365234375
1721423539.54819,500m,452m,1000Mi,348Mi,small,44.9,932.190418243408
1721423542.58449,500m,452m,1000Mi,348Mi,small,44.9,903.600215911865
1721423545.6363,500m,452m,1000Mi,348Mi,small,44.9,826.037168502808
1721423548.67997,500m,452m,1000Mi,348Mi,small,44.9,844.135999679565
1721423551.72245,500m,452m,1000Mi,348Mi,small,44.9,956.072330474854
1721423554.75734,500m,452m,1000Mi,348Mi,small,44.9,865.514278411865
1721423557.79305,500m,452m,1000Mi,348Mi,small,44.9,851.748704910278
1721423560.83017,500m,452m,1000Mi,348Mi,small,44.9,908.651113510132
1721423563.86965,500m,452m,1000Mi,348Mi,small,44.9,929.353475570679
1721423566.91248,500m,451m,1000Mi,348Mi,small,44.9,801.479339599609
1721423569.95916,500m,451m,1000Mi,348Mi,small,44.9,906.180620193481
1721423573.01257,500m,451m,1000Mi,348Mi,small,44.9,854.603290557861
1721423576.04999,500m,451m,1000Mi,348Mi,small,44.9,865.168333053589
1721423579.09125,500m,451m,1000Mi,348Mi,small,44.9,849.926710128784
1721423582.21946,500m,451m,1000Mi,348Mi,small,44.9,856.432437896729
1721423585.286,500m,451m,1000Mi,348Mi,small,44.9,913.961172103882
1721423588.37603,500m,451m,1000Mi,348Mi,small,44.9,905.813455581665
1721423591.49397,500m,451m,1000Mi,348Mi,small,44.9,859.083890914917
1721423594.53508,500m,430m,1000Mi,350Mi,small,44.9,926.323413848877
1721423597.59257,500m,430m,1000Mi,350Mi,small,44.9,851.469993591309
1721423600.63835,500m,430m,1000Mi,350Mi,small,44.9,886.31010055542
1721423603.67981,500m,430m,1000Mi,350Mi,small,44.9,855.182647705078
1721423606.78768,500m,430m,1000Mi,350Mi,small,44.9,863.665103912354
1721423609.83175,500m,430m,1000Mi,350Mi,small,44.9,928.54380607605
1721423612.90993,500m,430m,1000Mi,350Mi,small,44.9,801.60665512085
1721423615.95205,500m,430m,1000Mi,350Mi,small,44.9,888.544797897339
1721423618.98857,500m,430m,1000Mi,350Mi,small,44.9,860.827922821045
1721423622.10281,500m,430m,1000Mi,350Mi,small,44.9,968.711853027344
1721423625.15246,500m,440m,1000Mi,350Mi,small,44.9,871.411561965942
1721423628.28671,500m,440m,1000Mi,350Mi,small,44.9,816.184282302856
