time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721411634.35029,500m,371m,1000Mi,295Mi,nano,37.3,376.807451248169
1721411637.39827,500m,371m,1000Mi,295Mi,nano,37.3,332.404613494873
1721411640.49889,500m,371m,1000Mi,295Mi,nano,37.3,332.534551620483
1721411643.54117,500m,371m,1000Mi,295Mi,nano,37.3,431.890964508057
1721411646.58665,500m,371m,1000Mi,295Mi,nano,37.3,361.943244934082
1721411649.6279,500m,371m,1000Mi,295Mi,nano,37.3,342.372417449951
1721411652.67317,500m,371m,1000Mi,295Mi,nano,37.3,355.603933334351
1721411655.73156,500m,354m,1000Mi,294Mi,nano,37.3,376.282930374145
1721411658.79584,500m,354m,1000Mi,294Mi,nano,37.3,383.550882339478
1721411661.83846,500m,354m,1000Mi,294Mi,nano,37.3,349.474191665649
1721411664.88401,500m,354m,1000Mi,294Mi,nano,37.3,343.042135238647
1721411667.92466,500m,354m,1000Mi,294Mi,nano,37.3,334.245443344116
1721411670.96764,500m,354m,1000Mi,294Mi,nano,37.3,359.750270843506
1721411674.01473,500m,354m,1000Mi,294Mi,nano,37.3,303.74813079834
1721411677.06803,500m,354m,1000Mi,294Mi,nano,37.3,307.125091552734
1721411680.11242,500m,354m,1000Mi,294Mi,nano,37.3,364.375114440918
1721411683.15613,500m,354m,1000Mi,294Mi,nano,37.3,346.207618713379
1721411686.20546,500m,297m,1000Mi,281Mi,nano,37.3,353.986740112305
1721411689.25128,500m,297m,1000Mi,281Mi,nano,37.3,413.460493087769
1721411692.30049,500m,297m,1000Mi,281Mi,nano,37.3,297.098636627197
1721411695.51399,500m,297m,1000Mi,281Mi,nano,37.3,389.952182769775
1721411698.55662,500m,297m,1000Mi,281Mi,nano,37.3,358.020067214966
1721411701.6576,500m,297m,1000Mi,281Mi,nano,37.3,358.486652374268
1721411704.70541,500m,297m,1000Mi,281Mi,nano,37.3,304.107189178467
1721411707.75215,500m,297m,1000Mi,281Mi,nano,37.3,381.09278678894
1721411710.80248,500m,297m,1000Mi,281Mi,nano,37.3,350.121736526489
1721411713.84248,500m,297m,1000Mi,281Mi,nano,37.3,328.542947769165
1721411716.88098,500m,362m,1000Mi,281Mi,nano,37.3,310.031890869141
1721411719.93034,500m,362m,1000Mi,281Mi,nano,37.3,305.464267730713
1721411722.97647,500m,362m,1000Mi,281Mi,nano,37.3,361.778736114502
1721411726.02735,500m,362m,1000Mi,281Mi,nano,37.3,343.449831008911
1721411729.0782,500m,362m,1000Mi,281Mi,nano,37.3,418.41983795166
1721411732.17506,500m,362m,1000Mi,281Mi,nano,37.3,362.223148345947
1721411735.22007,500m,362m,1000Mi,281Mi,nano,37.3,387.076854705811
1721411738.27513,500m,362m,1000Mi,281Mi,nano,37.3,353.724479675293
1721411741.39605,500m,362m,1000Mi,281Mi,nano,37.3,411.104917526245
1721411744.44187,500m,246m,1000Mi,297Mi,nano,37.3,347.35631942749
1721411747.50347,500m,246m,1000Mi,297Mi,nano,37.3,359.414339065552
1721411750.58278,500m,246m,1000Mi,297Mi,nano,37.3,346.001386642456
1721411753.62768,500m,246m,1000Mi,297Mi,nano,37.3,376.51801109314
1721411756.66511,500m,246m,1000Mi,297Mi,nano,37.3,362.119436264038
1721411759.75376,500m,246m,1000Mi,297Mi,nano,37.3,352.590322494507
1721411762.95255,500m,246m,1000Mi,297Mi,nano,37.3,329.309701919556
1721411766.07934,500m,246m,1000Mi,297Mi,nano,37.3,354.743719100952
1721411769.12436,500m,246m,1000Mi,297Mi,nano,37.3,354.587316513062
1721411772.16508,500m,246m,1000Mi,297Mi,nano,37.3,406.036853790283
1721411775.20216,500m,397m,1000Mi,287Mi,nano,37.3,350.536584854126
1721411778.24514,500m,397m,1000Mi,287Mi,nano,37.3,393.474340438843
1721411781.28762,500m,397m,1000Mi,287Mi,nano,37.3,377.299785614014
1721411784.32709,500m,397m,1000Mi,287Mi,nano,37.3,302.958488464355
1721411787.38108,500m,397m,1000Mi,287Mi,nano,37.3,360.204219818115
1721411790.41806,500m,397m,1000Mi,287Mi,nano,37.3,408.04123878479
1721411793.46276,500m,397m,1000Mi,287Mi,nano,37.3,352.428674697876
1721411796.50422,500m,397m,1000Mi,287Mi,nano,37.3,307.617664337158
1721411799.54602,500m,397m,1000Mi,287Mi,nano,37.3,365.610837936401
1721411802.59194,500m,397m,1000Mi,287Mi,nano,37.3,350.204706192017
1721411805.63965,500m,417m,1000Mi,287Mi,nano,37.3,360.592126846313
1721411808.68674,500m,417m,1000Mi,287Mi,nano,37.3,360.156059265137
1721411811.73686,500m,417m,1000Mi,287Mi,nano,37.3,352.739572525024
1721411814.78284,500m,417m,1000Mi,287Mi,nano,37.3,378.976345062256
1721411817.82604,500m,417m,1000Mi,287Mi,nano,37.3,290.488958358765
1721411820.88121,500m,417m,1000Mi,287Mi,nano,37.3,336.299180984497
1721411823.99222,500m,417m,1000Mi,287Mi,nano,37.3,395.511627197266
1721411827.03901,500m,417m,1000Mi,287Mi,nano,37.3,366.627216339111
1721411830.0799,500m,417m,1000Mi,287Mi,nano,37.3,346.466779708862
