time,cpu_request,memory_request,model,model_acc,processing_delay(s)
4.0,1731410101.1610608,1000.0,500.0,1.0,44.9,0.4396200180053711
5.0,1731410101.9709494,1500.0,500.0,1.0,44.9,0.42159533500671387
0.0,1731410102.9135454,500.0,500.0,0.0,37.3,0.3516685962677002
1.0,1731410103.8183246,1000.0,500.0,1.0,44.9,0.41504645347595215
2.0,1731410104.4344072,1500.0,500.0,0.0,37.3,0.17547941207885742
3.0,1731410105.605476,500.0,500.0,0.0,37.3,0.32752418518066406
4.0,1731410106.6038206,1000.0,500.0,1.0,44.9,0.42647552490234375
5.0,1731410107.4212604,1500.0,500.0,1.0,44.9,0.4131324291229248
0.0,1731410108.4227247,500.0,500.0,0.0,37.3,0.40819573402404785
1.0,1731410109.1890101,1000.0,500.0,1.0,44.9,0.3959493637084961
2.0,1731410109.5521824,1500.0,500.0,0.0,37.3,0.16485810279846191
3.0,1731410110.165914,500.0,500.0,0.0,37.3,0.3571438789367676
4.0,1731410111.0234714,1000.0,500.0,1.0,44.9,0.4352729320526123
5.0,1731410111.6908815,1500.0,500.0,1.0,44.9,0.41728639602661133
0.0,1731410112.6134582,500.0,500.0,0.0,37.3,0.3653910160064697
1.0,1731410113.6131697,1000.0,500.0,1.0,44.9,0.4007134437561035
2.0,1731410114.1746407,1500.0,500.0,0.0,37.3,0.13723182678222656
3.0,1731410115.212829,500.0,500.0,0.0,37.3,0.3589603900909424
4.0,1731410116.1889098,1000.0,500.0,1.0,44.9,0.43136119842529297
5.0,1731410117.1351893,1500.0,500.0,1.0,44.9,0.4190034866333008
0.0,1731410343.9512725,500.0,500.0,0.0,37.3,0.36661744117736816
1.0,1731410345.052172,1000.0,500.0,1.0,44.9,0.4186739921569824
2.0,1731410345.4800968,1500.0,500.0,0.0,37.3,0.17291998863220215
3.0,1731410346.0938137,500.0,500.0,0.0,37.3,0.3661329746246338
4.0,1731410347.1869915,1000.0,500.0,1.0,44.9,0.4401419162750244
5.0,1731410347.8592265,1500.0,500.0,1.0,44.9,0.42333030700683594
0.0,1731410349.0265658,500.0,500.0,0.0,37.3,0.3557097911834717
1.0,1731410349.804291,1000.0,500.0,1.0,44.9,0.3922109603881836
2.0,1731410350.2886262,1500.0,500.0,0.0,37.3,0.14353132247924805
3.0,1731410351.9475734,500.0,500.0,0.0,37.3,0.3581562042236328
4.0,1731410352.8571177,1000.0,500.0,1.0,44.9,0.42925095558166504
5.0,1731410353.6245928,1500.0,500.0,1.0,44.9,0.4289267063140869
0.0,1731410354.4421177,500.0,500.0,0.0,37.3,0.3291594982147217
1.0,1731410355.1074195,1000.0,500.0,1.0,44.9,0.4101691246032715
2.0,1731410355.505335,1500.0,500.0,0.0,37.3,0.15961122512817383
3.0,1731410356.2495074,500.0,500.0,0.0,37.3,0.4110743999481201
4.0,1731410356.9489691,1000.0,500.0,1.0,44.9,0.4362208843231201
5.0,1731410357.6009474,1500.0,500.0,1.0,44.9,0.42340946197509766
0.0,1731410358.8275363,500.0,500.0,0.0,37.3,0.3564600944519043
1.0,1731410359.6243267,1000.0,500.0,1.0,44.9,0.3960099220275879
2.0,1731410360.1319902,1500.0,500.0,0.0,37.3,0.14081764221191406
3.0,1731410361.1964567,500.0,500.0,0.0,37.3,0.3830387592315674
4.0,1731410362.5928707,1000.0,500.0,1.0,44.9,0.4445986747741699
5.0,1731410363.6567805,1500.0,500.0,1.0,44.9,0.4184412956237793
0.0,1731410364.3434591,500.0,500.0,0.0,37.3,0.3633131980895996
1.0,1731410365.0632184,1000.0,500.0,1.0,44.9,0.40181970596313477
2.0,1731410365.5324225,1500.0,500.0,0.0,37.3,0.14810824394226074
3.0,1731410366.3533816,500.0,500.0,0.0,37.3,0.309948205947876
4.0,1731410367.0582922,1000.0,500.0,1.0,44.9,0.43152666091918945
5.0,1731410367.7617114,1500.0,500.0,1.0,44.9,0.4227147102355957
0.0,1731410368.7521446,500.0,500.0,0.0,37.3,0.3526780605316162
1.0,1731410369.753853,1000.0,500.0,1.0,44.9,0.3948855400085449
2.0,1731410370.6915426,1500.0,500.0,0.0,37.3,0.1588912010192871
3.0,1731410371.7082176,500.0,500.0,0.0,37.3,0.36114025115966797
4.0,1731410372.621033,1000.0,500.0,1.0,44.9,0.4287254810333252
5.0,1731410373.570624,1500.0,500.0,1.0,44.9,0.4178812503814697
0.0,1731410374.260221,500.0,500.0,0.0,37.3,0.36401939392089844
1.0,1731410374.9088964,1000.0,500.0,1.0,44.9,0.41057872772216797
2.0,1731410375.4290657,1500.0,500.0,0.0,37.3,0.15993833541870117
3.0,1731410376.1324127,500.0,500.0,0.0,37.3,0.37574315071105957
4.0,1731410376.9604447,1000.0,500.0,1.0,44.9,0.4391605854034424
5.0,1731410377.7598073,1500.0,500.0,1.0,44.9,0.41269850730895996
0.0,1731410378.8141418,500.0,500.0,0.0,37.3,0.35440826416015625
1.0,1731410379.5998886,1000.0,500.0,1.0,44.9,0.39386916160583496
2.0,1731410380.20469,1500.0,500.0,0.0,37.3,0.14554142951965332
3.0,1731410381.128672,500.0,500.0,0.0,37.3,0.413776159286499
4.0,1731410382.1968994,1000.0,500.0,1.0,44.9,0.433624267578125
