time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721418279.49505,1500m,299m,1000Mi,285Mi,nano,37.3,202.923059463501
1721418282.53024,1500m,299m,1000Mi,285Mi,nano,37.3,201.10559463501
1721418285.57024,1500m,581m,1000Mi,272Mi,nano,37.3,197.476148605347
1721418288.66364,1500m,581m,1000Mi,272Mi,nano,37.3,208.81724357605
1721418291.70341,1500m,581m,1000Mi,272Mi,nano,37.3,217.219114303589
1721418294.7454,1500m,581m,1000Mi,272Mi,nano,37.3,205.352783203125
1721418297.7862,1500m,581m,1000Mi,272Mi,nano,37.3,199.836015701294
1721418300.82663,1500m,581m,1000Mi,272Mi,nano,37.3,209.738731384277
1721418303.86639,1500m,581m,1000Mi,272Mi,nano,37.3,199.14722442627
1721418306.90742,1500m,581m,1000Mi,272Mi,nano,37.3,205.304861068726
1721418309.94704,1500m,581m,1000Mi,272Mi,nano,37.3,203.159093856812
1721418312.99787,1500m,581m,1000Mi,272Mi,nano,37.3,212.248802185059
1721418316.03913,1500m,406m,1000Mi,272Mi,nano,37.3,206.672430038452
1721418319.0837,1500m,406m,1000Mi,272Mi,nano,37.3,210.413217544556
1721418322.15605,1500m,406m,1000Mi,272Mi,nano,37.3,202.150821685791
1721418325.20264,1500m,406m,1000Mi,272Mi,nano,37.3,210.684299468994
1721418328.25679,1500m,406m,1000Mi,272Mi,nano,37.3,210.830211639404
1721418331.30378,1500m,406m,1000Mi,272Mi,nano,37.3,203.925848007202
1721418334.34249,1500m,406m,1000Mi,272Mi,nano,37.3,200.658559799194
1721418337.39506,1500m,406m,1000Mi,272Mi,nano,37.3,203.961133956909
1721418340.50849,1500m,406m,1000Mi,272Mi,nano,37.3,200.366020202637
1721418343.54768,1500m,406m,1000Mi,272Mi,nano,37.3,201.042890548706
1721418346.60047,1500m,411m,1000Mi,286Mi,nano,37.3,225.234746932983
1721418349.64674,1500m,411m,1000Mi,286Mi,nano,37.3,205.583810806274
1721418352.69501,1500m,411m,1000Mi,286Mi,nano,37.3,209.965944290161
1721418355.73985,1500m,411m,1000Mi,286Mi,nano,37.3,212.419509887695
1721418358.78314,1500m,411m,1000Mi,286Mi,nano,37.3,203.771829605103
1721418361.83354,1500m,411m,1000Mi,286Mi,nano,37.3,191.168785095215
1721418364.87595,1500m,411m,1000Mi,286Mi,nano,37.3,199.504137039185
1721418367.91029,1500m,411m,1000Mi,286Mi,nano,37.3,206.888675689697
1721418370.95,1500m,411m,1000Mi,286Mi,nano,37.3,206.396341323853
1721418373.99995,1500m,458m,1000Mi,282Mi,nano,37.3,201.031684875488
1721418377.03979,1500m,458m,1000Mi,282Mi,nano,37.3,200.712442398071
1721418380.08177,1500m,458m,1000Mi,282Mi,nano,37.3,213.985681533813
1721418383.12217,1500m,458m,1000Mi,282Mi,nano,37.3,206.614255905151
1721418386.18954,1500m,458m,1000Mi,282Mi,nano,37.3,211.20023727417
1721418389.23225,1500m,458m,1000Mi,282Mi,nano,37.3,209.872961044312
1721418392.66198,1500m,458m,1000Mi,282Mi,nano,37.3,201.942443847656
1721418395.70968,1500m,458m,1000Mi,282Mi,nano,37.3,211.743116378784
1721418398.75632,1500m,458m,1000Mi,282Mi,nano,37.3,207.101821899414
1721418401.83394,1500m,458m,1000Mi,282Mi,nano,37.3,213.276863098145
1721418404.87852,1500m,298m,1000Mi,272Mi,nano,37.3,202.368974685669
1721418407.92651,1500m,298m,1000Mi,272Mi,nano,37.3,220.371961593628
1721418411.02327,1500m,298m,1000Mi,272Mi,nano,37.3,211.701393127441
1721418414.06683,1500m,298m,1000Mi,272Mi,nano,37.3,214.187145233154
1721418417.10632,1500m,298m,1000Mi,272Mi,nano,37.3,205.448627471924
1721418420.15361,1500m,298m,1000Mi,272Mi,nano,37.3,207.566261291504
1721418423.205,1500m,298m,1000Mi,272Mi,nano,37.3,204.326868057251
1721418426.24804,1500m,298m,1000Mi,272Mi,nano,37.3,251.462697982788
1721418429.29229,1500m,298m,1000Mi,272Mi,nano,37.3,217.720508575439
1721418432.33639,1500m,298m,1000Mi,272Mi,nano,37.3,213.797330856323
1721418435.38052,1500m,604m,1000Mi,278Mi,nano,37.3,209.667921066284
1721418438.42877,1500m,604m,1000Mi,278Mi,nano,37.3,208.925724029541
1721418441.46995,1500m,604m,1000Mi,278Mi,nano,37.3,204.862117767334
1721418444.51211,1500m,604m,1000Mi,278Mi,nano,37.3,209.951400756836
1721418447.56109,1500m,604m,1000Mi,278Mi,nano,37.3,203.678131103516
1721418450.60199,1500m,604m,1000Mi,278Mi,nano,37.3,199.34344291687
